STT,Thời gian thực tế,Số lượng đạt,Số lượng lỗi,Thời gian bình quân (s),Năng suất ngày (sp),Năng suất đạt  (%),Bậc thợ,% lỗi,Hệ số,Thời gian chuẩn,Lỗi
286,108.0,3.0,0.0,173.68,10.0,0.0018654997696913864,3,0.0,1.0,90.0,0
287,42.0,3.0,0.0,173.68,10.0,0.0007254721326577614,3,0.0,1.0,35.0,0
289,42.0,11.0,0.0,173.68,10.0,0.0026600644864117917,2,0.0,0.9,38.888888888888886,0
290,108.0,11.0,1.0,173.68,10.0,0.006840165822201752,2,0.0009090909090909091,0.9,100.0,1
291,42.0,11.0,0.0,173.68,10.0,0.0026600644864117917,2,0.0,0.9,38.888888888888886,0
293,42.0,13.0,0.0,173.68,10.0,0.003143712574850299,3,0.0,1.0,35.0,0
294,108.0,13.0,1.0,173.68,10.0,0.008083832335329342,3,0.0007692307692307692,1.0,90.0,1
295,42.0,13.0,1.0,173.68,10.0,0.003143712574850299,4,0.0007692307692307692,1.15,30.434782608695656,1
297,42.0,17.0,0.0,173.68,10.0,0.004111008751727315,3,0.0,1.0,35.0,0
298,108.0,17.0,0.0,173.68,10.0,0.010571165361584523,3,0.0,1.0,90.0,0
299,42.0,17.0,1.0,173.68,10.0,0.004111008751727315,3,0.000588235294117647,1.0,35.0,1
302,43.2,2.0,0.0,173.68,10.0,0.0004974666052510365,2,0.0,0.9,40.0,0
303,42.0,2.0,0.0,173.68,10.0,0.00048364808843850764,3,0.0,1.0,35.0,0
304,108.0,2.0,0.0,173.68,10.0,0.001243666513127591,3,0.0,1.0,90.0,0
305,42.0,2.0,0.0,173.68,10.0,0.00048364808843850764,3,0.0,1.0,35.0,0
306,96.6,5.0,0.0,173.68,10.0,0.0027809765085214182,2,0.0,0.9,89.44444444444443,0
307,24.0,15.0,0.0,173.68,10.0,0.002072777521879318,2,0.0,0.9,22.22222222222222,0
311,21.6,23.0,1.0,173.68,10.0,0.002860432980193459,3,0.00043478260869565214,1.0,18.000000000000004,1
314,21.6,7.0,0.0,173.68,10.0,0.0008705665591893137,2,0.0,0.9,20.0,0
315,27.0,7.0,0.0,173.68,10.0,0.001088208198986642,2,0.0,0.9,25.0,0
316,64.8,7.0,0.0,173.68,10.0,0.002611699677567941,3,0.0,1.0,54.0,0
317,59.4,7.0,0.0,173.68,10.0,0.0023940580377706123,4,0.0,1.15,43.04347826086957,0
318,37.8,7.0,0.0,173.68,10.0,0.0015234914785812986,2,0.0,0.9,34.99999999999999,0
320,21.6,16.0,1.0,173.68,10.0,0.001989866421004146,2,0.000625,0.9,20.0,1
321,27.0,2.0,0.0,173.68,10.0,0.00031091662828189776,2,0.0,0.9,25.0,0
322,64.8,2.0,0.0,173.68,10.0,0.0007461999078765545,3,0.0,1.0,54.0,0
323,59.4,2.0,0.0,173.68,10.0,0.000684016582220175,4,0.0,1.15,43.04347826086957,0
324,37.8,2.0,0.0,173.68,10.0,0.0004352832795946568,3,0.0,1.0,31.5,0
326,21.6,3.0,0.0,173.68,10.0,0.00037309995393827733,3,0.0,1.0,18.000000000000004,0
327,27.0,10.0,0.0,173.68,10.0,0.0015545831414094887,4,0.0,1.15,19.565217391304348,0
328,64.8,14.0,0.0,173.68,10.0,0.005223399355135882,3,0.0,1.0,54.0,0
329,59.4,14.0,0.0,173.68,10.0,0.0047881160755412246,2,0.0,0.9,54.99999999999999,0
330,37.8,14.0,0.0,173.68,10.0,0.003046982957162597,2,0.0,0.9,34.99999999999999,0
332,64.8,15.0,0.0,173.68,10.0,0.005596499309074159,2,0.0,0.9,59.99999999999999,0
333,59.4,15.0,0.0,173.68,10.0,0.005130124366651313,3,0.0,1.0,49.5,0
334,37.8,15.0,0.0,173.68,10.0,0.0032646245969599258,2,0.0,0.9,34.99999999999999,0
336,24.0,3.0,0.0,173.68,10.0,0.00041455550437586366,4,0.0,1.15,17.39130434782609,0
337,84.0,2.0,0.0,173.68,10.0,0.0009672961768770153,2,0.0,0.9,77.77777777777777,0
338,96.6,3.0,0.0,173.68,10.0,0.001668585905112851,2,0.0,0.9,89.44444444444443,0
339,66.0,11.0,0.0,173.68,10.0,0.004180101335789959,4,0.0,1.15,47.82608695652174,0
341,21.6,4.0,0.0,173.68,10.0,0.0004974666052510365,4,0.0,1.15,15.65217391304348,0
342,27.0,4.0,0.0,173.68,10.0,0.0006218332565637955,4,0.0,1.15,19.565217391304348,0
343,64.8,4.0,0.0,173.68,10.0,0.001492399815753109,4,0.0,1.15,46.95652173913044,0
344,59.4,4.0,0.0,173.68,10.0,0.00136803316444035,2,0.0,0.9,54.99999999999999,0
345,66.0,15.0,0.0,173.68,10.0,0.005700138185168124,2,0.0,0.9,61.11111111111111,0
346,62.4,2.0,0.0,173.68,10.0,0.000718562874251497,2,0.0,0.9,57.77777777777777,0
347,37.8,4.0,0.0,173.68,10.0,0.0008705665591893136,2,0.0,0.9,34.99999999999999,0
349,84.0,2.0,0.0,173.68,10.0,0.0009672961768770153,2,0.0,0.9,77.77777777777777,0
350,62.4,2.0,0.0,173.68,10.0,0.000718562874251497,3,0.0,1.0,52.0,0
351,70.2,1.0,0.0,173.68,10.0,0.00040419161676646714,3,0.0,1.0,58.50000000000001,0
353,10.0,24.5,0.0,173.68,10.0,0.0014106402579456474,3,0.0,1.0,8.333333333333334,0
354,36.0,5.0,0.0,173.7,10.0,0.0010362694300518136,3,0.0,1.0,30.0,0
355,21.6,1.0,0.0,173.7,10.0,0.00012435233160621763,2,0.0,0.9,20.0,0
357,25.0,2.5,1.0,173.68,10.0,0.00035985720865960386,2,0.004,0.9,23.148148148148145,1
363,84.0,3.0,0.0,173.7,10.0,0.0014507772020725387,3,0.0,1.0,70.0,0
364,114.0,5.0,0.0,173.7,10.0,0.0032815198618307427,3,0.0,1.0,95.0,0
366,84.0,5.0,0.0,173.68,10.0,0.002418240442192538,3,0.0,1.0,70.0,0
367,114.0,5.0,0.0,173.7,10.0,0.0032815198618307427,2,0.0,0.9,105.55555555555554,0
371,10.0,15.0,0.0,173.68,10.0,0.0008636573007830492,2,0.0,0.9,9.25925925925926,0
372,10.0,3.0,0.0,173.68,10.0,0.00017273146015660983,3,0.0,1.0,8.333333333333334,0
374,10.0,10.0,0.0,173.68,10.0,0.0005757715338553662,3,0.0,1.0,8.333333333333334,0
375,10.0,23.0,0.0,173.68,10.0,0.0013242745278673421,3,0.0,1.0,8.333333333333334,0
376,25.0,23.0,0.0,173.68,10.0,0.003310686319668355,3,0.0,1.0,20.833333333333336,0
378,10.0,25.0,1.0,173.68,10.0,0.0014394288346384154,3,0.0004,1.0,8.333333333333334,1
379,10.0,2.0,0.0,173.68,10.0,0.00011515430677107324,3,0.0,1.0,8.333333333333334,0
381,10.0,25.0,0.0,173.68,10.0,0.0014394288346384154,2,0.0,0.9,9.25925925925926,0
383,10.0,29.0,0.0,173.68,10.0,0.0016697374481805618,3,0.0,1.0,8.333333333333334,0
384,10.0,5.0,0.0,173.68,10.0,0.0002878857669276831,4,0.0,1.15,7.246376811594203,0
386,10.0,24.0,0.0,173.68,10.0,0.0013818516812528787,3,0.0,1.0,8.333333333333334,0
387,10.0,29.0,0.0,173.68,10.0,0.0016697374481805618,3,0.0,1.0,8.333333333333334,0
389,10.0,4.0,0.0,173.68,10.0,0.00023030861354214648,3,0.0,1.0,8.333333333333334,0
390,10.0,1.0,0.0,173.68,10.0,5.757715338553662e-05,2,0.0,0.9,9.25925925925926,0
391,25.0,1.0,0.0,173.68,10.0,0.00014394288346384156,2,0.0,0.9,23.148148148148145,0
393,60.0,10.0,0.0,173.68,10.0,0.0034546292031321967,4,0.0,1.15,43.47826086956522,0
394,16.2,10.0,0.0,173.7,10.0,0.0009326424870466321,2,0.0,0.9,14.999999999999998,0
395,78.0,10.0,0.0,173.7,10.0,0.004490500863557859,2,0.0,0.9,72.22222222222221,0
396,54.0,9.0,0.0,173.7,10.0,0.002797927461139896,2,0.0,0.9,50.0,0
397,54.0,9.0,0.0,173.7,10.0,0.002797927461139896,2,0.0,0.9,50.0,0
399,60.0,15.0,0.0,173.68,10.0,0.005181943804698295,2,0.0,0.9,55.55555555555555,0
400,16.2,11.0,0.0,173.68,10.0,0.0010260248733302624,2,0.0,0.9,14.999999999999998,0
401,78.0,15.0,0.0,173.68,10.0,0.006736526946107784,2,0.0,0.9,72.22222222222221,0
