STT,Thời gian thực tế,Số lượng đạt,Số lượng lỗi,Thời gian bình quân (s),Năng suất ngày (sp),Năng suất đạt  (%),Bậc thợ,% lỗi,Hệ số,Thời gian chuẩn,Lỗi
465,54.0,3.0,0.0,173.68,10.0,0.0009327498848456932,3,0.0,1.0,15.000000000000002,0
468,54.0,3.0,1.0,173.68,10.0,0.0009327498848456932,4,0.003333333333333333,1.15,11.25,1
471,21.599999999999998,11.0,0.0,173.68,10.0,0.0013680331644403498,3,0.0,1.0,6.0,0
477,64.8,8.0,0.0,173.68,10.0,0.002984799631506218,4,0.0,1.15,13.5,0
478,59.4,8.0,0.0,173.68,10.0,0.0027360663288807,4,0.0,1.15,12.375,0
479,37.8,8.0,0.0,173.68,10.0,0.0017411331183786272,3,0.0,1.0,10.5,0
482,64.8,12.0,0.0,173.68,10.0,0.004477199447259327,3,0.0,1.0,18.0,0
483,59.4,12.0,0.0,173.68,10.0,0.00410409949332105,3,0.0,1.0,16.5,0
484,37.8,12.0,0.0,173.68,10.0,0.002611699677567941,2,0.0,0.9,15.75,0
486,21.599999999999998,18.0,0.0,173.68,10.0,0.0022385997236296635,2,0.0,0.9,9.0,0
487,27.0,9.0,0.0,173.68,10.0,0.00139912482726854,2,0.0,0.9,11.25,0
488,64.8,9.0,0.0,173.68,10.0,0.0033578995854444955,2,0.0,0.9,27.0,0
489,59.4,9.0,0.0,173.68,10.0,0.0030780746199907875,3,0.0,1.0,16.5,0
491,64.8,17.0,0.0,173.68,10.0,0.006342699216950714,3,0.0,1.0,18.0,0
492,59.4,17.0,0.0,173.68,10.0,0.005814140948871488,3,0.0,1.0,16.5,0
493,37.8,17.0,0.0,173.68,10.0,0.003699907876554583,2,0.0,0.9,15.75,0
497,102.0,16.0,0.0,173.68,10.0,0.009396591432519577,2,0.0,0.9,42.5,0
498,16.2,2.0,0.0,173.68,10.0,0.00018654997696913864,2,0.0,0.9,6.75,0
